case_id,date,crime_type,district,latitude,longitude,offender_age,offender_gender,victim_age,victim_gender,time_of_day,season,prior_offenses,recidivism,severity_score,arrest_made,weapon_used,gang_related
CASE01004,2020-09-07,Vandalism,Downtown,13.057594,77.51735,60,Unknown,22,Male,Night,Summer,6,No,8.87,No,Yes,Yes
CASE01005,2020-09-08,Drug Offense,Northeast,13.08065,77.621089,39,Female,46,Male,Evening,Winter,9,Yes,9.9,Yes,No,Yes
CASE01006,2020-09-08,Fraud,West,12.953483,77.511419,24,Unknown,56,Male,Morning,Autumn,0,Yes,6.5,Yes,No,Yes
CASE01007,2020-09-08,Vandalism,East,13.062478,77.634565,22,Male,31,Female,Morning,Winter,1,No,6.52,Yes,No,Yes
CASE01008,2020-09-08,Drug Offense,South,12.916481,77.606085,31,Female,48,Female,Afternoon,Winter,4,No,7.79,No,Yes,Yes
CASE01009,2020-09-09,Assault,North,13.019994,77.632557,34,Male,67,Male,Morning,Winter,1,Yes,3.09,No,Yes,No
CASE01010,2020-09-09,Robbery,Central,12.997129,77.618034,54,Male,39,Male,Afternoon,Summer,8,No,2.5,No,Yes,No
CASE01011,2020-09-09,Assault,South,13.009185,77.584541,21,Female,27,Male,Night,Autumn,3,No,7.84,Yes,Yes,No
CASE01012,2020-09-09,Kidnapping,South,13.085241,77.540175,26,Male,27,Female,Night,Autumn,8,No,4.1,Yes,No,No
CASE01013,2020-09-10,Sexual Offense,Northwest,13.074263,77.56114,27,Male,48,Male,Night,Winter,0,No,2.22,No,Yes,No
CASE01014,2020-09-10,Theft,Southeast,13.057017,77.6049,57,Male,35,Male,Afternoon,Winter,0,No,3.83,Yes,Yes,Yes
CASE01015,2020-09-10,Vandalism,Downtown,12.95474,77.630374,28,Female,16,Female,Evening,Winter,0,No,4.23,Yes,No,No
CASE01016,2020-09-10,Sexual Offense,Southeast,13.082364,77.655897,27,Male,78,Unknown,Evening,Summer,3,Yes,9.69,No,No,No
CASE01017,2020-09-11,Theft,West,12.919502,77.653434,36,Male,74,Unknown,Night,Summer,8,Yes,7.28,Yes,No,No
CASE01018,2020-09-11,Robbery,North,13.070666,77.694538,25,Male,55,Female,Afternoon,Spring,7,No,5.78,Yes,No,No
CASE01019,2020-09-11,Sexual Offense,Northwest,12.965632,77.557168,35,Male,27,Male,Afternoon,Autumn,6,Yes,9.72,No,Yes,No
CASE01020,2020-09-11,Theft,North,12.910754,77.514222,51,Female,22,Male,Night,Spring,0,No,9.13,No,Yes,No
CASE01021,2020-09-12,Vandalism,West,13.033871,77.569131,43,Male,34,Male,Morning,Spring,2,Yes,5.61,No,Yes,No
CASE01022,2020-09-12,Assault,Southeast,12.946256,77.648659,39,Male,17,Male,Night,Winter,8,Yes,9.15,Yes,No,No
CASE01023,2020-09-12,Sexual Offense,South,12.948714,77.587622,20,Female,41,Unknown,Afternoon,Summer,8,Yes,4.64,Yes,Yes,Yes
CASE01024,2020-09-12,Kidnapping,Northeast,12.961209,77.663558,52,Male,26,Female,Morning,Spring,4,No,3.07,No,No,No
CASE01025,2020-09-13,Sexual Offense,Northeast,12.912737,77.609865,27,Male,57,Female,Evening,Spring,5,No,3.09,No,Yes,No
CASE01026,2020-09-13,Robbery,Southwest,12.935425,77.685958,50,Female,72,Male,Morning,Spring,5,No,6.96,Yes,No,No
CASE01027,2020-09-13,Homicide,Central,12.901028,77.689573,55,Male,49,Female,Evening,Winter,9,No,5.51,No,No,No
CASE01028,2020-09-13,Drug Offense,Downtown,12.989082,77.513861,17,Male,24,Female,Afternoon,Winter,3,No,6.93,No,No,Yes
CASE01029,2020-09-14,Assault,West,12.916851,77.591283,56,Female,15,Male,Night,Summer,0,No,7.17,Yes,No,No
CASE01030,2020-09-14,Drug Offense,Central,13.036531,77.621938,60,Female,72,Female,Night,Spring,4,No,1.2,No,No,Yes
CASE01031,2020-09-14,Theft,Downtown,12.947125,77.551175,54,Female,17,Male,Night,Spring,0,No,1.49,Yes,No,No
CASE01032,2020-09-14,Fraud,Central,13.088715,77.581415,57,Unknown,41,Male,Night,Summer,0,No,5.79,Yes,No,No
CASE01033,2020-09-15,Assault,Southeast,13.07425,77.635536,24,Female,54,Female,Night,Summer,4,No,2.72,Yes,No,No
CASE01034,2020-09-15,Theft,Downtown,12.957888,77.545347,37,Female,61,Female,Afternoon,Summer,4,No,6.69,Yes,No,No
CASE01035,2020-09-15,Theft,Southeast,13.056643,77.620396,62,Female,22,Male,Afternoon,Autumn,6,No,5.97,No,No,No
CASE01036,2020-09-15,Vandalism,South,13.060649,77.63949,20,Male,33,Male,Night,Summer,1,No,6.27,No,No,No
CASE01037,2020-09-16,Assault,Northwest,13.097313,77.518099,27,Male,49,Unknown,Morning,Winter,5,Yes,3.72,No,Yes,No
CASE01038,2020-09-16,Vandalism,Southeast,13.019568,77.599506,16,Female,23,Female,Night,Autumn,1,No,6.76,Yes,Yes,No
CASE01039,2020-09-16,Theft,Northeast,12.916393,77.552616,59,Male,79,Female,Evening,Summer,9,Yes,8.47,Yes,No,No
CASE01040,2020-09-16,Assault,Central,13.029367,77.644877,37,Male,71,Male,Evening,Winter,4,No,9.98,Yes,Yes,No
CASE01041,2020-09-17,Robbery,Southwest,13.024996,77.537911,53,Male,70,Male,Evening,Summer,3,No,8.55,Yes,Yes,No
CASE01042,2020-09-17,Drug Offense,East,13.02767,77.678448,34,Male,10,Male,Evening,Summer,9,No,6.02,Yes,No,No
CASE01043,2020-09-17,Assault,Downtown,12.961429,77.586188,31,Male,75,Male,Night,Autumn,4,Yes,2.74,Yes,No,No
CASE01044,2020-09-17,Fraud,West,13.071936,77.539601,46,Female,41,Male,Evening,Winter,1,Yes,7.13,Yes,No,No
CASE01045,2020-09-18,Sexual Offense,Southwest,13.091894,77.587604,18,Female,22,Male,Morning,Spring,7,Yes,9.44,Yes,No,No
CASE01046,2020-09-18,Fraud,Northeast,12.943543,77.581749,38,Female,42,Female,Night,Summer,7,No,2.91,Yes,No,No
CASE01047,2020-09-18,Assault,Southeast,12.91763,77.585784,57,Female,41,Male,Evening,Autumn,5,No,3.3,Yes,No,No
CASE01048,2020-09-18,Theft,Northwest,12.938907,77.617112,33,Male,65,Female,Night,Winter,2,No,2.34,No,Yes,No
CASE01049,2020-09-19,Homicide,South,13.06411,77.604235,41,Male,33,Male,Night,Summer,3,No,7.63,Yes,Yes,No
CASE01050,2020-09-19,Theft,East,13.035329,77.529955,28,Male,13,Male,Night,Spring,0,No,4.66,Yes,No,Yes
CASE01051,2020-09-19,Homicide,North,13.027209,77.513116,33,Male,32,Male,Afternoon,Winter,8,Yes,1.56,No,No,Yes
CASE01052,2020-09-19,Robbery,Southwest,12.980359,77.645883,18,Male,38,Female,Evening,Winter,9,Yes,8.87,No,Yes,No
CASE01053,2020-09-20,Sexual Offense,Northwest,13.015566,77.611943,38,Male,30,Male,Afternoon,Autumn,4,Yes,6.02,No,No,No
CASE01054,2020-09-20,Drug Offense,North,12.961575,77.5718,18,Male,39,Unknown,Morning,Summer,7,No,3.98,Yes,No,Yes
CASE01055,2020-09-20,Kidnapping,East,12.99544,77.661672,40,Male,29,Female,Morning,Summer,2,No,4.1,Yes,No,Yes
CASE01056,2020-09-20,Burglary,West,13.058613,77.577612,42,Unknown,25,Female,Afternoon,Winter,3,No,3.61,No,No,No
CASE01057,2020-09-21,Drug Offense,West,13.096248,77.659193,59,Male,76,Male,Evening,Summer,3,Yes,5.1,No,No,No
CASE01058,2020-09-21,Burglary,Central,13.086498,77.561151,42,Male,58,Female,Night,Winter,7,No,4.03,Yes,No,No
CASE01059,2020-09-21,Robbery,East,13.086773,77.514569,54,Male,67,Female,Morning,Spring,8,No,5.93,Yes,No,No
CASE01060,2020-09-21,Fraud,East,12.980445,77.686528,40,Male,53,Male,Morning,Autumn,2,Yes,7.96,Yes,Yes,No
CASE01061,2020-09-22,Homicide,North,12.993758,77.57891,39,Male,34,Female,Morning,Summer,6,No,7.07,Yes,No,No
CASE01062,2020-09-22,Kidnapping,Northwest,13.041127,77.658539,23,Male,32,Female,Evening,Summer,8,Yes,3.65,No,No,No
CASE01063,2020-09-22,Drug Offense,Downtown,13.084438,77.555829,24,Male,68,Female,Afternoon,Autumn,1,Yes,5.76,Yes,No,No
CASE01064,2020-09-22,Burglary,North,12.928399,77.629273,61,Unknown,10,Female,Afternoon,Spring,3,No,8.56,No,No,No
CASE01065,2020-09-23,Burglary,South,12.960848,77.674662,52,Male,24,Female,Evening,Spring,2,Yes,1.61,Yes,No,Yes
CASE01066,2020-09-23,Vandalism,West,12.927849,77.508329,45,Female,61,Female,Morning,Spring,7,No,1.7,No,No,No
CASE01067,2020-09-23,Assault,West,13.022402,77.666127,34,Female,67,Male,Evening,Spring,3,No,6.01,Yes,Yes,Yes
CASE01068,2020-09-23,Theft,Central,12.96126,77.614267,31,Male,50,Female,Evening,Spring,8,No,6.75,Yes,No,No
CASE01069,2020-09-24,Burglary,South,12.965222,77.621494,39,Male,53,Female,Afternoon,Winter,0,No,2.9,Yes,No,Yes
CASE01070,2020-09-24,Assault,West,12.914183,77.604632,59,Male,13,Female,Evening,Summer,0,No,7.71,No,No,No
CASE01071,2020-09-24,Assault,North,12.969959,77.674895,36,Male,77,Unknown,Evening,Summer,3,Yes,6.82,Yes,No,No
CASE01072,2020-09-24,Assault,South,13.072499,77.508687,51,Male,16,Male,Morning,Summer,2,No,9.31,Yes,Yes,No
CASE01073,2020-09-25,Theft,North,12.946615,77.552206,55,Female,55,Male,Night,Winter,2,No,2.52,No,Yes,No
CASE01074,2020-09-25,Theft,Downtown,13.039037,77.675153,54,Male,18,Male,Morning,Autumn,9,Yes,7.76,Yes,No,No
CASE01075,2020-09-25,Kidnapping,Downtown,13.025926,77.650469,62,Female,42,Male,Afternoon,Spring,1,No,1.75,No,No,No
CASE01076,2020-09-25,Burglary,West,13.072697,77.503529,21,Female,42,Male,Night,Autumn,9,No,6.09,No,Yes,No
CASE01077,2020-09-26,Burglary,West,12.926458,77.603401,20,Female,13,Female,Morning,Spring,9,No,5.97,No,No,No
CASE01078,2020-09-26,Vandalism,Northwest,13.095518,77.605915,29,Male,74,Male,Evening,Spring,1,No,4.5,Yes,No,Yes
CASE01079,2020-09-26,Assault,Downtown,13.016526,77.580176,60,Female,43,Female,Evening,Autumn,7,No,8.6,Yes,No,No
CASE01080,2020-09-26,Sexual Offense,Southwest,13.099095,77.559479,57,Male,73,Female,Night,Summer,0,No,1.04,No,No,No
CASE01081,2020-09-27,Drug Offense,Southwest,13.082303,77.636345,19,Male,34,Male,Night,Winter,7,No,5.68,Yes,No,No
CASE01082,2020-09-27,Theft,Central,12.944303,77.541558,23,Female,64,Male,Evening,Autumn,9,No,2.95,Yes,No,No
CASE01083,2020-09-27,Burglary,Downtown,12.911232,77.65979,39,Male,18,Female,Afternoon,Summer,2,No,7.69,No,Yes,No
CASE01084,2020-09-27,Homicide,North,12.951128,77.660607,26,Male,26,Female,Morning,Spring,1,No,1.39,Yes,No,No
CASE01085,2020-09-28,Sexual Offense,North,13.005513,77.583052,32,Male,30,Female,Evening,Summer,8,Yes,8.48,No,No,No
CASE01086,2020-09-28,Burglary,Northeast,12.934319,77.55671,36,Male,69,Female,Morning,Spring,4,No,8.54,No,No,No
CASE01087,2020-09-28,Fraud,South,12.933492,77.556776,41,Male,22,Unknown,Morning,Spring,4,No,8.5,No,No,No
CASE01088,2020-09-28,Theft,Southeast,12.992519,77.596458,58,Male,12,Female,Morning,Summer,5,No,2.37,Yes,No,No
CASE01089,2020-09-29,Kidnapping,Southwest,12.906654,77.643916,63,Male,77,Female,Morning,Spring,3,No,6.67,Yes,No,Yes
CASE01090,2020-09-29,Assault,West,12.924378,77.571774,59,Male,13,Female,Afternoon,Winter,6,No,1.13,Yes,No,No
CASE01091,2020-09-29,Sexual Offense,Central,12.983172,77.622009,60,Unknown,16,Female,Afternoon,Summer,6,No,8.63,Yes,No,No
CASE01092,2020-09-29,Fraud,Southeast,12.912626,77.576497,42,Male,35,Male,Afternoon,Autumn,8,No,7.51,Yes,No,No
CASE01093,2020-09-30,Fraud,East,12.979351,77.560905,31,Female,33,Unknown,Evening,Spring,5,No,5.78,Yes,No,No
CASE01094,2020-09-30,Robbery,Central,12.994801,77.504972,41,Female,19,Male,Evening,Spring,0,No,7.58,Yes,No,No
CASE01095,2020-09-30,Assault,East,12.990253,77.500783,48,Male,22,Female,Evening,Winter,8,No,1.85,Yes,Yes,No
CASE01096,2020-09-30,Theft,Downtown,13.073835,77.545442,46,Male,53,Male,Afternoon,Winter,9,No,5.76,No,No,No
CASE01097,2020-10-01,Assault,East,13.006012,77.581281,63,Male,48,Male,Morning,Autumn,8,No,3.62,Yes,No,No
CASE01098,2020-10-01,Theft,East,12.993596,77.670252,62,Male,28,Male,Afternoon,Spring,4,Yes,9.75,Yes,No,No
CASE01099,2020-10-01,Drug Offense,Northwest,12.982142,77.659697,21,Male,60,Male,Evening,Autumn,6,Yes,8.71,No,Yes,No
CASE01100,2020-10-01,Burglary,Northwest,13.063525,77.553433,59,Male,28,Male,Night,Autumn,0,Yes,7.6,No,No,No
CASE01101,2020-10-02,Theft,Northwest,13.079011,77.548908,23,Male,61,Female,Evening,Spring,3,No,9.4,Yes,No,Yes
CASE01102,2020-10-02,Kidnapping,Downtown,13.070648,77.545464,22,Male,56,Male,Morning,Autumn,9,Yes,4.12,No,No,No
CASE01103,2020-10-02,Sexual Offense,Southeast,13.034709,77.567847,49,Male,39,Male,Afternoon,Autumn,3,No,9.11,Yes,Yes,No
CASE01104,2020-10-02,Sexual Offense,Central,12.927472,77.59964,59,Unknown,55,Male,Night,Winter,4,Yes,3.93,Yes,No,Yes
CASE01105,2020-10-03,Kidnapping,Central,12.955374,77.587734,29,Male,30,Female,Night,Winter,5,No,7.6,No,No,No
CASE01106,2020-10-03,Theft,West,12.909213,77.543655,31,Female,57,Male,Morning,Autumn,3,No,7.63,No,No,No
CASE01107,2020-10-03,Burglary,Northwest,13.086165,77.52609,58,Unknown,71,Male,Afternoon,Spring,5,No,1.17,Yes,No,No
CASE01108,2020-10-03,Drug Offense,Downtown,13.03216,77.502516,24,Male,67,Female,Night,Winter,9,No,4.25,No,Yes,Yes
CASE01109,2020-10-04,Vandalism,West,13.049273,77.530793,25,Male,27,Female,Evening,Autumn,6,Yes,1.17,No,No,No
CASE01110,2020-10-04,Theft,South,12.962314,77.641071,32,Female,68,Male,Morning,Summer,2,No,9.97,No,No,No
CASE01111,2020-10-04,Drug Offense,West,13.069131,77.548728,27,Female,57,Male,Night,Summer,8,Yes,2.1,Yes,No,No
CASE01112,2020-10-04,Assault,Southeast,12.951921,77.59372,21,Male,72,Male,Morning,Autumn,7,No,5.89,Yes,No,No
CASE01113,2020-10-05,Assault,Southwest,12.900329,77.61826,34,Unknown,21,Unknown,Afternoon,Summer,0,No,8.12,Yes,No,No
CASE01114,2020-10-05,Robbery,East,12.975283,77.677368,58,Male,43,Male,Afternoon,Winter,1,No,2.81,Yes,No,No
CASE01115,2020-10-05,Fraud,Northwest,13.014152,77.677771,56,Male,70,Female,Afternoon,Spring,1,No,5.37,Yes,No,No
CASE01116,2020-10-05,Fraud,Southwest,12.995741,77.649147,44,Male,62,Male,Evening,Autumn,9,Yes,6.47,No,Yes,No
CASE01117,2020-10-06,Theft,West,13.072415,77.507031,21,Male,34,Female,Night,Winter,8,No,2.44,No,No,No
CASE01118,2020-10-06,Homicide,Downtown,12.921081,77.615014,40,Male,71,Male,Afternoon,Spring,8,No,8.01,No,Yes,Yes
CASE01119,2020-10-06,Assault,East,13.010765,77.657317,39,Male,13,Male,Evening,Summer,8,Yes,3.69,Yes,Yes,No
CASE01120,2020-10-06,Theft,Central,13.002596,77.503458,40,Male,22,Male,Afternoon,Summer,0,No,2.9,Yes,Yes,No
CASE01121,2020-10-07,Sexual Offense,North,12.956279,77.609937,31,Male,51,Male,Afternoon,Summer,6,No,6.02,Yes,No,No
CASE01122,2020-10-07,Kidnapping,East,13.064446,77.671553,31,Female,58,Male,Night,Summer,2,No,4.69,Yes,No,Yes
CASE01123,2020-10-07,Homicide,Southeast,13.05057,77.59482,21,Female,65,Female,Evening,Winter,8,No,9.28,No,No,No
CASE01124,2020-10-07,Drug Offense,Southeast,13.046572,77.500821,52,Male,56,Unknown,Afternoon,Winter,7,Yes,8.92,Yes,Yes,No
CASE01125,2020-10-08,Fraud,West,13.075238,77.502203,36,Male,17,Male,Evening,Spring,2,Yes,5.35,No,No,Yes
CASE01126,2020-10-08,Robbery,South,13.044557,77.583327,19,Male,64,Female,Evening,Autumn,0,No,4.23,Yes,No,No
CASE01127,2020-10-08,Theft,Southeast,12.946368,77.531002,49,Male,27,Unknown,Afternoon,Spring,8,No,3.93,Yes,No,Yes
CASE01128,2020-10-08,Burglary,Southeast,13.041113,77.63289,43,Male,44,Female,Afternoon,Autumn,9,No,3.41,No,Yes,No
CASE01129,2020-10-09,Burglary,Downtown,12.961541,77.64176,53,Male,41,Male,Morning,Summer,0,No,5.9,Yes,Yes,No
CASE01130,2020-10-09,Assault,West,12.948435,77.535576,56,Female,33,Female,Night,Summer,2,Yes,8.24,Yes,Yes,No
CASE01131,2020-10-09,Vandalism,East,12.914601,77.677707,43,Female,16,Male,Afternoon,Summer,5,No,3.8,Yes,No,No
CASE01132,2020-10-09,Robbery,South,13.048806,77.588382,32,Male,22,Female,Morning,Summer,5,No,2.71,No,No,No
CASE01133,2020-10-10,Theft,Southwest,13.0422,77.528569,29,Female,78,Male,Night,Winter,9,No,5.28,No,No,No
CASE01134,2020-10-10,Assault,North,12.9469,77.65285,22,Male,51,Male,Afternoon,Spring,3,No,1.62,No,No,No
CASE01135,2020-10-10,Vandalism,Northwest,13.049876,77.657995,37,Male,40,Male,Evening,Autumn,1,Yes,7.31,No,No,No
CASE01136,2020-10-10,Theft,Central,13.083568,77.627859,16,Male,35,Male,Night,Autumn,9,Yes,5.67,No,No,No
CASE01137,2020-10-11,Homicide,Southeast,12.921606,77.670693,44,Male,41,Female,Evening,Winter,5,Yes,5.47,No,No,No
CASE01138,2020-10-11,Robbery,West,12.946527,77.647475,46,Male,61,Male,Morning,Summer,9,No,3.7,Yes,Yes,No
CASE01139,2020-10-11,Robbery,Northwest,13.050052,77.676441,45,Female,29,Female,Afternoon,Spring,4,No,9.14,Yes,No,No
CASE01140,2020-10-11,Fraud,Central,12.954901,77.586778,30,Female,49,Male,Morning,Summer,5,No,1.81,Yes,No,No
CASE01141,2020-10-12,Drug Offense,Central,13.024933,77.649519,33,Female,68,Male,Afternoon,Winter,6,Yes,8.83,No,Yes,Yes
CASE01142,2020-10-12,Assault,Southwest,12.916233,77.69995,50,Female,23,Female,Afternoon,Autumn,8,Yes,4.39,Yes,No,No
CASE01143,2020-10-12,Vandalism,Southwest,12.99044,77.644986,45,Unknown,53,Unknown,Evening,Winter,6,No,8.93,Yes,No,Yes
CASE01144,2020-10-12,Robbery,Southwest,13.047818,77.522837,49,Male,57,Male,Morning,Autumn,3,No,7.56,No,No,No
CASE01145,2020-10-13,Assault,Northeast,13.037303,77.603664,57,Male,52,Male,Evening,Spring,9,No,1.94,Yes,No,No
CASE01146,2020-10-13,Homicide,Northeast,13.063014,77.61747,26,Male,25,Female,Evening,Autumn,4,No,8.48,No,No,No
CASE01147,2020-10-13,Drug Offense,Central,13.07549,77.534842,42,Male,44,Male,Evening,Spring,5,No,7.14,No,Yes,No
CASE01148,2020-10-13,Fraud,Southwest,13.054637,77.692578,39,Male,62,Female,Morning,Summer,8,Yes,1.29,Yes,Yes,No
CASE01149,2020-10-14,Homicide,Downtown,13.034318,77.535116,50,Male,43,Female,Afternoon,Summer,4,Yes,2.2,No,No,No
CASE01150,2020-10-14,Homicide,Southeast,12.906344,77.535512,54,Male,12,Male,Afternoon,Winter,4,Yes,6.72,No,No,No
CASE01151,2020-10-14,Vandalism,Northwest,13.006993,77.683033,23,Male,77,Male,Morning,Spring,6,Yes,6.96,Yes,Yes,No
CASE01152,2020-10-14,Drug Offense,Northwest,12.90754,77.593041,33,Female,14,Male,Afternoon,Summer,1,Yes,7.72,No,No,No
CASE01153,2020-10-15,Vandalism,Northeast,13.061614,77.512638,28,Male,19,Male,Morning,Spring,2,Yes,7.48,No,No,No
CASE01154,2020-10-15,Vandalism,Central,12.964145,77.619637,60,Male,61,Female,Morning,Summer,1,No,6.94,Yes,Yes,Yes
CASE01155,2020-10-15,Fraud,West,13.012486,77.620365,39,Male,38,Female,Afternoon,Summer,9,No,7.9,Yes,No,No
CASE01156,2020-10-15,Drug Offense,East,12.955889,77.5129,38,Female,40,Female,Night,Autumn,9,No,6.18,Yes,No,No
CASE01157,2020-10-16,Theft,East,13.0565,77.694504,27,Male,75,Female,Evening,Winter,1,No,3.35,Yes,No,No
CASE01158,2020-10-16,Sexual Offense,Northeast,13.077301,77.608806,64,Male,78,Male,Morning,Autumn,2,Yes,9.21,Yes,No,No
CASE01159,2020-10-16,Homicide,West,12.979728,77.611959,45,Male,46,Female,Morning,Spring,5,No,1.16,No,Yes,Yes
CASE01160,2020-10-16,Theft,Northeast,13.072584,77.604023,46,Male,36,Male,Night,Summer,4,No,4.3,Yes,No,No
CASE01161,2020-10-17,Drug Offense,East,12.953415,77.622146,43,Male,42,Female,Morning,Winter,4,No,7.56,No,No,No
CASE01162,2020-10-17,Theft,West,13.006932,77.55286,37,Male,77,Male,Morning,Summer,1,No,4.84,Yes,No,No
CASE01163,2020-10-17,Assault,Southwest,13.071752,77.557448,59,Male,68,Female,Afternoon,Summer,1,Yes,1.22,Yes,Yes,No
CASE01164,2020-10-17,Vandalism,Central,12.965176,77.602268,43,Male,73,Female,Afternoon,Autumn,0,No,1.59,No,No,No
CASE01165,2020-10-18,Theft,Northwest,13.090808,77.661337,28,Male,53,Male,Night,Spring,2,Yes,6.84,No,No,No
CASE01166,2020-10-18,Drug Offense,Downtown,12.924376,77.509973,40,Unknown,58,Male,Morning,Winter,6,Yes,9.68,Yes,No,No
CASE01167,2020-10-18,Drug Offense,South,12.903655,77.620681,59,Unknown,62,Female,Evening,Winter,4,Yes,5.97,Yes,No,Yes
CASE01168,2020-10-18,Robbery,Central,13.080827,77.661356,61,Male,58,Male,Afternoon,Winter,6,Yes,5.56,No,No,No
CASE01169,2020-10-19,Theft,Southwest,12.91373,77.531383,22,Male,75,Female,Evening,Spring,8,Yes,3.86,Yes,Yes,No
CASE01170,2020-10-19,Assault,East,13.098378,77.503005,60,Male,72,Unknown,Evening,Winter,5,Yes,3.31,Yes,No,No
CASE01171,2020-10-19,Fraud,Southwest,13.090279,77.562543,21,Male,34,Female,Night,Spring,1,Yes,1.19,Yes,No,No
CASE01172,2020-10-19,Kidnapping,Northeast,12.927404,77.617629,39,Male,13,Male,Night,Winter,0,No,3.46,No,Yes,No
CASE01173,2020-10-20,Fraud,West,13.007517,77.527657,34,Male,60,Female,Morning,Summer,0,Yes,5.04,Yes,Yes,Yes
CASE01174,2020-10-20,Assault,Northwest,12.936984,77.585224,34,Male,20,Male,Night,Spring,9,Yes,2.78,Yes,Yes,Yes
CASE01175,2020-10-20,Fraud,Southeast,12.985631,77.610464,51,Male,26,Male,Afternoon,Autumn,8,No,1.79,Yes,Yes,No
CASE01176,2020-10-20,Robbery,Northeast,12.912285,77.619777,24,Male,75,Female,Morning,Winter,5,No,7.46,No,No,No
CASE01177,2020-10-21,Drug Offense,Central,12.944785,77.554882,63,Male,79,Female,Morning,Autumn,5,Yes,9.05,Yes,Yes,No
CASE01178,2020-10-21,Theft,Northeast,12.972655,77.580006,51,Male,78,Male,Evening,Spring,3,Yes,9.43,Yes,No,No
CASE01179,2020-10-21,Drug Offense,Central,12.98773,77.655668,53,Male,38,Male,Evening,Summer,1,No,6.56,Yes,No,No
CASE01180,2020-10-21,Robbery,Southeast,13.095499,77.688243,55,Male,29,Female,Evening,Autumn,9,Yes,1.47,Yes,No,No
CASE01181,2020-10-22,Kidnapping,North,13.061573,77.672376,44,Male,36,Female,Morning,Autumn,2,No,7.67,No,No,No
CASE01182,2020-10-22,Assault,Northwest,13.047482,77.612857,39,Male,17,Female,Night,Summer,2,Yes,1.99,No,No,No
CASE01183,2020-10-22,Fraud,Downtown,13.007408,77.582059,63,Male,70,Male,Night,Summer,7,No,7.03,No,No,No
CASE01184,2020-10-22,Sexual Offense,Downtown,13.068,77.566591,20,Male,37,Female,Night,Spring,5,No,8.01,No,Yes,No
CASE01185,2020-10-23,Theft,South,12.967865,77.524991,57,Male,79,Female,Morning,Winter,6,No,7.53,No,No,No
CASE01186,2020-10-23,Sexual Offense,Southwest,13.04178,77.52131,60,Male,12,Female,Morning,Autumn,8,Yes,9.57,Yes,No,No
CASE01187,2020-10-23,Vandalism,North,13.098757,77.637672,41,Male,78,Female,Morning,Autumn,0,No,7.64,No,Yes,Yes
CASE01188,2020-10-23,Theft,Downtown,12.962926,77.551959,29,Male,16,Male,Morning,Spring,1,Yes,7.24,Yes,No,No
CASE01189,2020-10-24,Assault,Northeast,13.034804,77.550932,54,Female,69,Unknown,Morning,Winter,8,No,3.36,No,No,No
CASE01190,2020-10-24,Vandalism,Southwest,13.068863,77.699639,44,Female,13,Male,Night,Spring,4,No,9.32,Yes,Yes,No
CASE01191,2020-10-24,Theft,North,13.083162,77.537585,21,Unknown,14,Male,Morning,Autumn,3,No,2.62,No,No,No
CASE01192,2020-10-24,Fraud,West,13.043587,77.529612,22,Male,20,Female,Night,Autumn,0,No,9.14,Yes,No,No
CASE01193,2020-10-25,Assault,West,12.956722,77.519737,52,Unknown,24,Female,Morning,Summer,8,Yes,3.81,No,No,No
CASE01194,2020-10-25,Fraud,Southwest,12.965256,77.615961,33,Male,73,Female,Night,Summer,8,No,2.17,No,No,Yes
CASE01195,2020-10-25,Theft,Central,12.904152,77.625573,38,Male,22,Female,Afternoon,Winter,3,No,8.44,No,No,No
CASE01196,2020-10-25,Homicide,Central,13.052177,77.573046,59,Male,16,Male,Afternoon,Autumn,8,No,1.02,No,Yes,No
CASE01197,2020-10-26,Kidnapping,Northeast,12.908548,77.607083,53,Female,15,Female,Night,Autumn,9,No,8.49,Yes,No,Yes
CASE01198,2020-10-26,Kidnapping,North,13.07293,77.65768,16,Male,65,Male,Afternoon,Summer,0,Yes,3.36,Yes,No,No
CASE01199,2020-10-26,Vandalism,North,12.923732,77.663621,19,Female,73,Female,Afternoon,Spring,4,No,8.96,No,No,No
CASE01200,2020-10-26,Theft,Southwest,12.934375,77.691582,59,Male,59,Male,Night,Spring,0,No,7.22,No,Yes,Yes
CASE01201,2020-10-27,Drug Offense,East,12.995305,77.664854,62,Male,39,Female,Morning,Autumn,3,No,7.0,Yes,Yes,No
CASE01202,2020-10-27,Theft,West,13.047576,77.612968,50,Male,31,Male,Morning,Autumn,4,No,4.29,Yes,No,No
CASE01203,2020-10-27,Theft,North,12.9278,77.535931,38,Male,34,Female,Night,Winter,2,No,1.53,Yes,No,No
CASE01204,2020-10-27,Assault,Southwest,12.988014,77.519953,42,Male,37,Female,Evening,Winter,1,Yes,8.47,Yes,No,No
CASE01205,2020-10-28,Robbery,Southeast,12.99657,77.510902,41,Male,48,Male,Evening,Summer,5,No,2.54,Yes,No,No
CASE01206,2020-10-28,Drug Offense,South,12.942457,77.633305,23,Male,76,Female,Afternoon,Autumn,2,No,4.35,Yes,No,No
CASE01207,2020-10-28,Vandalism,Southeast,12.923112,77.661507,58,Male,14,Female,Evening,Spring,9,No,6.4,Yes,Yes,Yes
CASE01208,2020-10-28,Burglary,Northwest,13.067284,77.601737,31,Male,74,Female,Afternoon,Winter,0,No,5.34,Yes,Yes,No
CASE01209,2020-10-29,Assault,Northeast,13.000493,77.510943,56,Female,24,Female,Morning,Summer,4,No,2.79,Yes,No,No
